"trial","han001","han002","han003","han004","han005","han006","han007","han008","han009","han010","han011","han012","han013","han014","han015","han016","han017","han018","han019","han020","han021","han022","han023","han024","han025","han026","han027","han028","han029"
38,49.2769245033957,15.7424428679158,2.40582819502249,48.1495639966965,28.6361903275456,21.9831624457146,36.5161787166386,30.6325016060736,11.3908671173384,18.6616492135063,25.0027623971556,7.8404661206348,19.6865235074185,9.4020987959412,-0.667045932788734,24.389183991845,56.0176118422616,24.5490358005303,40.2162362257202,19.3163671705238,22.0644698382447,24.13058694929,39.2309605771164,4.15973501652733,19.2783132368977,23.4941309988218,25.5414840785977,15.6699082993818,28.0772625408744
39,67.1401977529674,24.9177000579886,2.06618022137391,29.3990813515188,24.6014635112885,35.3763340869231,33.763510759343,21.6549879889617,20.0688035053474,26.502513924696,23.7013301149193,16.5207985341505,29.168741260165,42.0948664971148,8.30957981586644,17.0907442851357,30.793459200109,29.084045026219,40.077600289577,12.305189301299,27.673118787657,8.38998046542705,26.6352598774323,37.9949518172929,18.9114470415422,19.9594407433539,40.2678000463401,40.8098297889569,15.3801971382942
40,18.7110956575433,23.1865346847988,10.6317407809376,34.9012771674898,28.3427659807598,40.9065234122822,12.993885193704,33.0713840331319,22.6297437687036,25.1388811361321,34.6156438714625,24.1592518917416,38.282033366718,31.1008219434477,5.8608777409753,37.7837357348041,46.2646030570275,25.5481714887063,27.2609128266265,22.2735977131437,34.9446813310385,22.1081365958392,14.480386261905,42.793911272424,13.9439031495501,27.0380052904195,22.8029567052704,31.6246448814498,26.165068319804
41,47.6723759728593,20.2204697604965,16.4649101364277,35.8332205640447,23.397920299019,18.9355027301394,29.6126260733318,24.3740320159757,14.9126955888777,22.4668236250381,21.2862742495641,30.8093420539507,21.4475819138161,16.3617425831975,14.7513970759821,18.4746096977667,20.3322026412951,21.7223919498303,14.4759242855354,25.4835495027638,23.5097845347258,33.5382239407654,43.7918226874564,27.7151191738258,23.1796242309635,23.2389240422071,28.3142260635236,31.6509233620226,23.6537116496892
42,41.0827914190827,34.2090672737731,19.967720733614,32.7847828133628,37.1029845931792,12.0566323776749,39.5343021967762,31.2702162120752,14.8767250134643,9.19828086039983,21.1193699052362,-1.92423629291791,28.1367442901035,14.7484416454267,16.8334372104338,28.3873716623721,8.86202946659339,39.7342422150391,21.5102028354607,25.6472727522109,22.8374721415762,14.3082234451541,24.9373667941733,11.5409135606252,18.5728760203909,13.2074067669012,17.9341484789371,41.2896077525923,24.0298430958889
43,35.627708506398,32.030664624154,13.7761120605481,30.3289670830319,29.865782994519,21.6540400711417,46.0339509329619,31.2375095634974,12.3081215142125,33.4146930679023,38.2728126590873,23.3884013569894,33.6044184908646,21.1333521495021,13.1967467166667,14.0508600108575,6.07186008733804,22.4385789518833,24.9317098350972,32.0091477021916,19.3105063544057,30.5284514426312,19.6734397982634,27.3362610297112,17.2504454992119,27.3819474600942,31.5542615269763,37.6214844266598,21.6400810904909
44,14.7671401020211,25.2264046881687,8.79460285686417,40.7076239937288,12.9390286488743,24.2534700569844,23.4793440754823,30.364580535913,3.59810364628426,26.8446064936624,42.0339630903978,17.6079230862123,25.3294461619623,53.3256244635216,14.100265265343,5.61475574052483,42.8870680777024,29.1249420648442,19.5193995696553,28.9274349352836,15.2967887870221,3.00607833742246,36.0807734104846,30.8244330694784,17.7785537202376,17.2983041514465,22.0011611000022,31.5432055870717,28.6954451789582
45,34.1863579366008,7.51406808473597,6.6133474143391,22.3889352880873,26.3647631954703,29.1498879336418,13.7120850019773,35.0789330543414,34.618215025391,16.2967232676921,17.059619957404,31.5717613139128,21.5831314734558,34.8395107500893,9.94638633716316,17.2791850199612,32.535444717212,35.001151558392,33.0287755815349,25.677989191029,12.1066704887305,33.6968713134276,54.1322857738739,7.89251528068916,34.7760738625374,12.1488541058569,34.3788705403038,21.4287464035291,26.1076986244937
46,37.4343148471165,25.4754939702389,16.2698136600241,27.8003677066701,20.3382244443439,9.8962018111352,20.7898695732182,28.5850331723537,12.8627446959877,39.6016293317712,29.1789098761385,29.1399515080508,44.3569226664827,35.2003399607329,14.3070154758964,17.328594225329,28.8151032816853,12.2375157981483,46.4581724923347,26.4653999433968,19.4218884267666,19.7640328230232,28.0093391317706,27.3576243794941,80.1861550738969,15.5933545912661,38.504030250659,27.7921717474171,33.4881751985405
47,30.6814916121109,30.7910585120882,9.78566659369136,36.7101136675404,25.2368368414848,37.734328580431,21.213623130533,38.9298397204023,13.8547092075594,26.0548796317775,20.4841366309098,22.33946563243,22.9044542123419,11.3112216921426,22.1622939956878,13.2470564739823,9.26671917206518,10.4513892961387,26.6570740232097,29.621996209483,16.2642780247408,22.336635247662,17.3428615112254,-0.198070100521714,21.0145117792021,16.8989794280378,24.1346273617221,28.9881301986876,10.8384947793907
