group,participant,rotated_b,passive_b,handangle_deg,bias_deg
cursorjump,cur019,0,1,130,3.84121006598378
cursorjump,cur020,0,1,50,4.98169967701724
cursorjump,cur020,0,1,90,4.02824884053088
cursorjump,cur020,0,1,130,4.30242828906385
cursorjump,cur001,1,1,50,-9.93907775800849
cursorjump,cur001,1,1,90,-4.20469904095885
cursorjump,cur001,1,1,130,4.03597258666147
cursorjump,cur002,1,1,50,-19.555336547862
cursorjump,cur002,1,1,90,-8.18918571323894
cursorjump,cur002,1,1,130,5.45901796493264
cursorjump,cur003,1,1,50,-17.6868035014909
cursorjump,cur003,1,1,90,-13.1808565742275
cursorjump,cur003,1,1,130,-6.25093959260064
cursorjump,cur004,1,1,50,-13.2901890094329
cursorjump,cur004,1,1,90,-5.08590828659017
cursorjump,cur004,1,1,130,0.608418118230134
cursorjump,cur005,1,1,50,-1.01803695433971
cursorjump,cur005,1,1,90,0.128091181888265
cursorjump,cur005,1,1,130,0.728695850242354
cursorjump,cur006,1,1,50,-16.3531181956609
cursorjump,cur006,1,1,90,-11.7745150214501
cursorjump,cur006,1,1,130,0.416709442679937
cursorjump,cur007,1,1,50,-3.15716315618929
cursorjump,cur007,1,1,90,-4.09340372443678
cursorjump,cur007,1,1,130,-6.74488302524147
cursorjump,cur008,1,1,50,-26.0324278834502
cursorjump,cur008,1,1,90,-4.41361791395901
cursorjump,cur008,1,1,130,10.5058543129964
cursorjump,cur009,1,1,50,-4.59066805160078
cursorjump,cur009,1,1,90,-1.79615526061521
cursorjump,cur009,1,1,130,5.44876188308973
cursorjump,cur010,1,1,50,-5.96107273373079
cursorjump,cur010,1,1,90,6.22299378460124
cursorjump,cur010,1,1,130,10.3060354655167
cursorjump,cur011,1,1,50,-20.744503462853
cursorjump,cur011,1,1,90,-6.82617847552694
cursorjump,cur011,1,1,130,-1.48277439173947
cursorjump,cur012,1,1,50,-16.8196436210215
cursorjump,cur012,1,1,90,-16.2548832396865
cursorjump,cur012,1,1,130,-15.4504991633316
cursorjump,cur013,1,1,50,-4.5451494781934
cursorjump,cur013,1,1,90,-4.83681604107982
cursorjump,cur013,1,1,130,-2.57746430755658
cursorjump,cur014,1,1,50,-11.4670646619583
cursorjump,cur014,1,1,90,-8.19932323942534
cursorjump,cur014,1,1,130,-12.1323041385467
cursorjump,cur015,1,1,50,-7.61666583730552
cursorjump,cur015,1,1,90,-0.740887803727412
cursorjump,cur015,1,1,130,0.250900570079372
cursorjump,cur016,1,1,50,-12.4300978525505
cursorjump,cur016,1,1,90,-15.0265983754176
cursorjump,cur016,1,1,130,-12.6893492565559
cursorjump,cur017,1,1,50,-13.1229566056483
cursorjump,cur017,1,1,90,-6.31864642185528
cursorjump,cur017,1,1,130,-8.15796599357934
cursorjump,cur018,1,1,50,-2.22841308713831
cursorjump,cur018,1,1,90,0.427993520030375
cursorjump,cur018,1,1,130,0.64957619906168
cursorjump,cur019,1,1,50,-1.73331734954582
cursorjump,cur019,1,1,90,-4.51290095579845
cursorjump,cur019,1,1,130,-4.82321429257574
cursorjump,cur020,1,1,50,3.70606644681702
cursorjump,cur020,1,1,90,3.92783115364321
cursorjump,cur020,1,1,130,3.77706706181756
