group,participant,rotated_b,passive_b,handangle_deg,bias_deg
handview,han013,1,0,90,1.28094413412704
handview,han013,1,0,130,-4.62685875332336
handview,han014,1,0,50,-1.17042119435455
handview,han014,1,0,90,-4.32357471400065
handview,han014,1,0,130,-3.33333738771216
handview,han015,1,0,50,1.89642058597393
handview,han015,1,0,90,-4.18103810281149
handview,han015,1,0,130,-8.69791431854803
handview,han016,1,0,50,-11.5582224831389
handview,han016,1,0,90,-16.8340319934694
handview,han016,1,0,130,-19.6819324526562
handview,han017,1,0,50,11.8221998999437
handview,han017,1,0,90,-0.0609953578929632
handview,han017,1,0,130,-12.9634768696221
handview,han018,1,0,50,-11.3959836454947
handview,han018,1,0,90,-4.37442933888888
handview,han018,1,0,130,-7.43993212337832
handview,han019,1,0,50,0.634825852006684
handview,han019,1,0,90,0.113079367401445
handview,han019,1,0,130,-6.53782943669298
handview,han020,1,0,50,5.11692391538782
handview,han020,1,0,90,3.29734235181782
handview,han020,1,0,130,-4.60727545079346
handview,han021,1,0,50,6.24687257992673
handview,han021,1,0,90,1.30935741715913
handview,han021,1,0,130,-4.89452900815877
handview,han022,1,0,50,5.99387457226342
handview,han022,1,0,90,-0.718181153288355
handview,han022,1,0,130,-5.69135767283752
handview,han023,1,0,50,-22.7114514547736
handview,han023,1,0,90,-24.0886725020881
handview,han023,1,0,130,-20.8314962898955
handview,han024,1,0,50,4.15708402992309
handview,han024,1,0,90,-1.76458709332372
handview,han024,1,0,130,-7.15683887408991
handview,han025,1,0,50,6.2709471987392
handview,han025,1,0,90,2.72403691090223
handview,han025,1,0,130,0.919469175929414
handview,han026,1,0,50,4.85567220470633
handview,han026,1,0,90,-3.0941529009045
handview,han026,1,0,130,-6.11411586703659
handview,han027,1,0,50,3.69833430610421
handview,han027,1,0,90,0.18324732200752
handview,han027,1,0,130,-13.5985287881469
handview,han028,1,0,50,7.66062334054139
handview,han028,1,0,90,6.99328243455251
handview,han028,1,0,130,0.536947817541146
handview,han029,1,0,50,4.15280265373682
handview,han029,1,0,90,3.59685005489927
handview,han029,1,0,130,3.43484344098948
