participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
han001,0,0,4,279,130,113.369836590041,110.494864006544
han001,0,1,1,73,50,57.4475636843969,52.8468041352545
han001,0,1,1,74,130,146.309371482181,149.59977934088
han001,0,1,1,75,90,78.7963712727341,77.2166856812923
han001,0,1,1,76,50,69.8057034721375,72.8347866970773
han001,0,1,1,77,130,111.290240848161,103.819872468407
han001,0,1,1,78,90,102.935142675151,102.117579948722
han001,0,1,1,79,50,51.7133941156413,49.1449625302526
han001,0,1,1,80,90,87.4638521859064,94.001693460161
han001,0,1,1,81,130,114.612980210564,110.484545006126
han001,0,1,1,82,50,59.5811770165922,58.9384716384766
han001,0,1,1,83,130,123.03770999571,117.584760291567
han001,0,1,1,84,90,92.274165725234,91.1810673392483
han001,0,1,1,85,130,127.867662697536,139.088488969808
han001,0,1,1,86,90,89.8951753994023,93.8151956475573
han001,0,1,1,87,50,52.346696141772,54.1906328730445
han001,0,1,1,88,50,46.9460427250464,50.4401892289946
han001,0,1,1,89,90,92.4323184355951,103.782484837257
han001,0,1,1,90,130,135.911888394593,139.414067350059
han001,0,1,2,145,130,134.041029504557,139.486521393833
han001,0,1,2,146,50,50.2077299268764,55.0258644512369
han001,0,1,2,147,90,107.641840979345,107.339905783341
han001,0,1,2,148,90,76.2456633430515,72.379881586813
han001,0,1,2,149,50,63.6388139168215,68.1227566912025
han001,0,1,2,150,130,128.54677881847,133.514000877339
han001,0,1,2,151,130,119.440966495105,115.742603114623
han001,0,1,2,152,90,91.2295914639803,93.3171027934488
han001,0,1,2,153,50,63.0845455499645,70.952798954155
han001,0,1,2,154,130,107.063128559055,107.22005518715
han001,0,1,2,155,90,89.3961230948505,87.9791051039715
han001,0,1,2,156,50,65.1594157848698,65.345848721134
han001,0,1,2,157,50,49.6920329141666,51.7411195970862
han001,0,1,2,158,130,118.968236888911,121.61315058268
han001,0,1,2,159,90,89.3081925242779,88.8275689602405
han001,0,1,2,160,50,55.6094933018764,54.3798264859491
han001,0,1,2,161,130,129.32197614804,136.510935110086
han001,0,1,2,162,90,96.9692250689887,94.1838194997602
han001,0,1,3,217,50,64.9449898065184,65.2293383793609
han001,0,1,3,218,90,73.5493545658871,78.200970064282
han001,0,1,3,219,130,125.35680814164,132.447529341952
han001,0,1,3,220,130,124.381962015162,119.973072932547
han001,0,1,3,221,50,54.5591798779412,57.9686458283273
han001,0,1,3,222,90,94.6090223534533,104.108286551237
han001,0,1,3,223,130,114.15323111331,114.838630493356
han001,0,1,3,224,50,55.1378741994523,51.3872672200056
han001,0,1,3,225,90,70.5041750689945,73.6945515898021
han001,0,1,3,226,50,67.3276754560964,65.7537508350502
han001,0,1,3,227,130,131.734971950316,137.160081133041
han001,0,1,3,228,90,108.666811261428,115.689429682768
han001,0,1,3,230,90,85.0942808623955,84.7560995427669
han001,0,1,3,231,130,121.281477660228,114.783987662411
han001,0,1,3,232,50,55.1907768462409,47.9622429918249
han001,0,1,3,233,130,120.132961016576,116.684780345185
han001,0,1,3,234,90,102.115630894853,104.808144690207
han001,0,1,4,289,130,108.885622674217,117.09849686327
han001,0,1,4,290,50,66.265360557098,65.7225074568864
han001,0,1,4,291,90,83.8047335474391,80.7521882886049
han001,0,1,4,292,90,105.621154521875,97.173138584393
han001,0,1,4,293,130,112.570842580965,97.5220437597885
han001,0,1,4,294,50,69.3182936784138,64.8614043020313
han001,0,1,4,295,130,120.383063023466,109.946668580658
han001,0,1,4,296,50,68.8706245224858,60.4908685390796
han001,0,1,4,297,90,79.9787999605971,80.8361450980756
han001,0,1,4,298,90,109.797431264925,91.9727651430048
han001,0,1,4,299,50,53.6001429934904,35.2487055441915
han001,0,1,4,300,130,108.204475261862,104.998543128699
han001,0,1,4,301,90,103.838929858027,88.5874333064124
han001,0,1,4,302,50,59.3714335987615,44.1673162506101
han001,0,1,4,303,130,111.163351705307,101.676589839978
han001,0,1,4,304,90,116.680222568373,108.50721512819
han001,0,1,4,305,50,68.2283856556719,47.2656158793274
han001,0,1,4,306,130,113.063709256147,106.369522849523
han001,1,0,1,91,50,65.4020847065196,68.7605539948938
han001,1,0,1,92,130,109.8440329039,105.57827798658
han001,1,0,1,93,90,107.513618756779,98.506038236232
han001,1,0,1,94,90,92.4163317943039,81.0075540313335
han001,1,0,1,95,50,74.1783650277168,67.5485129948705
han001,1,0,1,96,130,124.547865920013,111.669064751045
han001,1,0,1,97,90,110.387964418086,103.277074912781
han001,1,0,1,98,130,131.518882544522,117.90012069011
han001,1,0,1,99,50,71.2328083640299,62.4906532160179
han001,1,0,1,100,130,131.268682294207,116.559251382453
han001,1,0,1,101,50,91.8839632276429,70.9476491707627
han001,1,0,1,102,90,87.0739071023476,86.4591093464287
han001,1,0,1,103,50,58.4869704195237,62.7775376767138
han001,1,0,1,104,90,88.3450710574348,72.938230907722
han001,1,0,1,105,130,131.716104931462,122.034405814206
han001,1,0,1,106,50,72.0064675800488,65.7653232712515
han001,1,0,1,107,90,91.0162130891994,73.5559589999415
han001,1,0,1,108,130,133.779327857555,119.26058112219
han001,1,0,2,235,50,64.1931568598877,67.6983602690932
han001,1,0,2,236,130,112.89737204878,109.633854936195
han001,1,0,2,237,90,98.3350552708873,104.37009011271
han001,1,0,2,238,50,74.5591981112449,75.0810549520085
han001,1,0,2,239,90,91.8394284714018,92.7035269381463
han001,1,0,2,240,130,115.651701093398,105.955938577646
han001,1,0,2,241,90,98.0443904673461,90.5908845894531
han001,1,0,2,242,130,125.679594027519,116.418844240592
han001,1,0,2,243,50,78.1376175131127,72.5869997941228
han001,1,0,2,244,90,72.6472020451479,65.7392051342256
han001,1,0,2,245,50,69.3450233954072,68.6352896480225
han001,1,0,2,246,130,117.683728514513,113.353667242289
han001,1,0,2,247,50,59.4528557201301,57.7762406662837
han001,1,0,2,248,130,122.561789865326,120.886473886899
han001,1,0,2,249,90,102.836121669275,112.307651088726
han001,1,0,2,250,130,111.808012512588,99.7200905366976
han001,1,0,2,251,50,76.2993785317846,74.7520525221297
han001,1,0,2,252,90,93.0579211918228,87.2877971569402
han001,1,0,3,379,130,103.839235737863,106.520962755777
