"trial","cur001","cur002","cur003","cur004","cur005","cur006","cur007","cur008","cur009","cur010","cur011","cur012","cur013","cur014","cur015","cur016","cur017","cur018","cur019","cur020"
11,26.2085496530193,37.0533492026534,-4.1134141748489,0.274095331937284,32.0426142283616,0.862733187004096,13.1871268635845,13.3659549876882,55.2551008944753,38.6046977640234,9.08434573084509,19.9243807870166,15.5761828405509,37.3106999118172,27.6349095465827,14.3431367301075,20.2470048296992,40.0263693872887,40.3515378198713,-2.96721239214498
12,14.0416483917475,31.9986937803991,25.6611392880071,3.99105070345508,29.2145526095744,5.54512512845332,8.07039602978561,40.9438031829108,42.9134584295475,7.97502447880821,42.498940730988,3.35967748058615,36.2666447972698,14.4777132212328,17.7742915130149,105.84782779515,6.63968140153119,7.6303318534283,14.5693238239364,30.990627972955
13,20.9505504295842,46.6230181320495,23.8772626310457,8.95918837428842,38.8050488283796,2.20518402323729,2.38035254712288,29.8947660606284,4.10517053670793,30.5099664686712,29.8276217376334,24.7404379315111,41.8441877449081,25.1940759749469,20.1923195823622,66.793521476788,8.90435427575373,49.0831812456934,53.8159982924524,-2.56652077132448
14,28.232156514573,27.3849193868636,28.5193903762287,5.92760529172804,31.020661866646,18.3585041984771,-9.75138142167822,30.8225051563774,NA,33.8796601647847,65.990705245168,20.5458329214097,34.5832326117865,7.01547468119141,23.4333932895042,31.6984194295159,25.6945952482348,17.4549540040258,64.2390472960361,22.4981418204351
15,27.3732286850746,23.6977589132791,10.9245926346488,-4.27400210373232,48.4185956225997,7.11892982028033,22.2179259772815,56.9359509540872,19.836607639244,26.164029399807,16.1795976774473,0.296286769881457,56.6919193895074,14.0680818477572,12.7462352783957,12.7815757392076,0.0358044292585857,34.8835498434329,51.9449932446315,-13.5186948110421
16,21.5068660939042,46.050274441426,49.1501723814321,-17.8188971116611,27.6953987744995,-0.122814339003898,24.0851519277077,63.5993831957451,28.6379677762142,31.1611860832751,29.2369623308637,29.1960730815947,25.7798965090508,21.8955627973736,17.4708254064837,54.376148169853,10.0281673383994,54.5544262141482,43.5069325765803,15.1036221122677
17,23.1917038015942,47.4058269628233,8.27511980455762,4.77721840933411,9.98439825026407,1.75803032020378,-2.01729743870945,37.7950934891383,71.9353836693265,20.2699641239363,29.8717218514646,42.2162025917229,10.6901054722846,29.2985467045321,14.6132109652296,14.876002494008,24.729884558856,40.3835946526446,59.2919030048395,-3.16423213117394
18,32.2203562207857,41.4758062291557,12.1759955995009,3.70622072783222,48.6253587727227,5.47419130543691,12.1758978473838,87.9070632142253,1.34978673368823,19.7621262385898,38.0268878045704,11.8226125502409,33.5408849434959,NA,19.7974674463898,52.0128132152451,9.86597093413446,23.5353147206606,37.1496286779823,4.38704049385626
19,20.1420778686165,50.2140626631677,76.9842912556226,7.3145421155269,52.0072275261557,2.88183545635558,18.6925701962314,40.8416643368144,9.70904507282785,19.9883641077719,39.6003373798727,29.2339188773464,25.3807913712713,17.428070929093,37.8358060724483,60.9769448330879,19.4084105892103,38.7245039843808,43.1622190715279,-7.68656390404652
20,31.6607429385201,32.7978150906883,2.44003610249175,9.2718267171099,35.3599103464331,7.26110150702415,4.71254728815277,44.0462554778297,0.154029145037025,26.0311704155501,30.2729499678369,17.162125697373,24.7748852391433,53.7845647461943,29.8422193944743,16.320006232623,43.413963022862,35.2433823435187,32.803051890028,4.64980745229166
21,22.2607026055849,32.3939017888729,13.4424402381343,-5.12181862830868,49.7082815062982,5.10521025405946,21.0203302401483,36.888742332455,13.3223701406766,43.3734604218836,63.3961100383036,26.621610490996,28.9354262413397,14.8045184563491,19.3077195617806,37.8042021622039,12.8603922292901,17.8521977683741,27.4890316370112,69.0560077106948
22,29.3822470677343,38.237183688017,31.3089812537946,-1.55802032689649,62.0179357770872,7.66504409684295,-15.8557537911586,17.4894876411218,48.4249262394644,11.8260472693763,40.8832630574345,39.2461871550679,8.78402946021015,31.2699263398242,25.0756612470368,57.7970845760694,6.35656348918114,32.8769540563411,54.5372106168259,47.1488688138036
23,34.2393548988921,42.6048979004405,14.359913976082,5.06682724065467,58.4410567605875,16.8043533442958,19.9424402375218,14.5576827636518,15.6148122393534,7.83143614770224,37.4889142206427,43.4691406873439,29.9731261030585,39.5143499950803,29.3245018728582,8.17897867051017,8.85184973137745,45.3964157439742,33.3942851490513,-0.516879515013408
24,10.8475268021585,52.8096848414462,46.2826548821099,2.21663821953698,37.0838189878222,-0.588963941374662,40.8040212382151,30.6273023813943,21.2302853913393,17.0693759206562,19.3791400640705,30.8071669442614,32.79737555566,41.7938049112569,30.2154556579869,47.3583027452443,18.6357948598579,15.7632756009149,51.0315554818345,132.535576184212
25,37.1298843953974,31.2829257491247,19.6831794844162,14.3728100784248,43.4903393087875,30.1234129290251,21.548057249899,20.2769472287125,15.2069760240645,24.6765598746915,36.3906378296157,36.6913210351752,18.6238292816842,41.1759060039313,25.7649855869936,12.420899892939,14.216821274552,-4.74105687623235,59.7113789215402,13.4528083023517
26,25.6542225226562,54.8391935653263,26.3190473242993,-8.87434911614442,55.9535658882762,-3.65545469477418,-4.30651348679995,54.0973937272331,7.97404858856011,6.36667372347568,39.2777554890388,24.0241618296867,27.7855407932482,0.72918179110291,36.4819178870137,55.7676828715627,6.08034715018534,29.0206631781343,37.7585111239766,-6.79026390874172
27,11.749115570893,31.5100625706273,2.15766418347824,2.05569626997411,20.5969988663333,4.19156275914277,25.5235049571604,28.3257610496088,30.4661252060326,24.182798952384,35.7116867799431,12.8665749027807,23.8055963562668,21.2049556994271,25.6221316247159,38.3243195694338,7.8604719581189,25.1121610903107,29.6407048041564,24.7952776150504
28,14.7812006590499,37.6441368578341,36.2503425264999,1.15487501471855,75.2159622306769,-5.51728651816242,34.0552970841416,25.5133093795517,32.7982109326665,32.9816493569166,35.8921227267248,40.345297889881,32.5074208746358,22.1961123092577,16.1540079900226,16.1383370609829,19.6834229894785,26.0220192974659,35.5811120552614,-2.84423189537462
