group,participant,rotated_b,passive_b,handangle_deg,bias_deg
30implicit,imp020,1,0,130,-19.3070094365206
30implicit,imp001,0,1,50,2.50884048043804
30implicit,imp001,0,1,90,8.84304896554599
30implicit,imp001,0,1,130,6.30153676639289
30implicit,imp002,0,1,50,0.507976416310226
30implicit,imp002,0,1,90,5.92140280040383
30implicit,imp002,0,1,130,13.0656239439644
30implicit,imp003,0,1,50,-26.4071259513417
30implicit,imp003,0,1,90,-18.4977735798918
30implicit,imp003,0,1,130,-0.711390798115185
30implicit,imp004,0,1,50,-1.41759044120521
30implicit,imp004,0,1,90,-0.541079785480433
30implicit,imp004,0,1,130,7.27165886480369
30implicit,imp005,0,1,50,-8.98372334009757
30implicit,imp005,0,1,90,-4.13978721449197
30implicit,imp005,0,1,130,2.6476271190936
30implicit,imp006,0,1,50,-20.9596191673768
30implicit,imp006,0,1,90,-18.5664559113836
30implicit,imp006,0,1,130,-9.28979530503457
30implicit,imp007,0,1,50,-16.3706304900264
30implicit,imp007,0,1,90,-0.32921385922912
30implicit,imp007,0,1,130,9.47463133685933
30implicit,imp008,0,1,50,-15.2015449106849
30implicit,imp008,0,1,90,-3.14667084736873
30implicit,imp008,0,1,130,3.23344869216321
30implicit,imp009,0,1,50,-0.398977035141095
30implicit,imp009,0,1,90,-4.51413403907699
30implicit,imp009,0,1,130,-11.6728363971159
30implicit,imp010,0,1,50,-3.53223534269098
30implicit,imp010,0,1,90,-4.29451205836133
30implicit,imp010,0,1,130,-1.06614360365669
30implicit,imp011,0,1,50,-21.4318590223569
30implicit,imp011,0,1,90,-10.5180754586345
30implicit,imp011,0,1,130,10.781251951625
30implicit,imp012,0,1,50,-19.4074056965041
30implicit,imp012,0,1,90,-11.3211301400313
30implicit,imp012,0,1,130,3.2533270594462
30implicit,imp013,0,1,50,-1.23454356083902
30implicit,imp013,0,1,90,1.20041594608337
30implicit,imp013,0,1,130,9.46887751339259
30implicit,imp014,0,1,50,-12.8024970854209
30implicit,imp014,0,1,90,-4.62474993729822
30implicit,imp014,0,1,130,9.74165669851655
30implicit,imp015,0,1,50,-15.0192435818978
30implicit,imp015,0,1,90,-11.0957611841027
30implicit,imp015,0,1,130,-9.00208853636309
30implicit,imp016,0,1,50,-14.32864171518
30implicit,imp016,0,1,90,-5.5256024822057
30implicit,imp016,0,1,130,10.5890013857305
30implicit,imp017,0,1,50,-12.5281719028778
30implicit,imp017,0,1,90,-5.59934967300671
30implicit,imp017,0,1,130,5.39065024502991
30implicit,imp018,0,1,50,-3.38882399259943
30implicit,imp018,0,1,90,2.0434183946667
30implicit,imp018,0,1,130,11.5650530088618
30implicit,imp019,0,1,50,-21.2011022085845
30implicit,imp019,0,1,90,-13.02609067854
30implicit,imp019,0,1,130,3.8254637006384
30implicit,imp020,0,1,50,-13.1132700785994
30implicit,imp020,0,1,90,-8.59756067375965
30implicit,imp020,0,1,130,-7.48917463915363
30implicit,imp001,1,1,50,-2.62924462343677
30implicit,imp001,1,1,90,4.16757266251341
30implicit,imp001,1,1,130,3.16584802859637
30implicit,imp002,1,1,50,-18.668108543608
30implicit,imp002,1,1,90,-11.8509323406861
30implicit,imp002,1,1,130,-4.42719937366122
30implicit,imp003,1,1,50,-25.1543117532195
30implicit,imp003,1,1,90,-20.5509531569663
30implicit,imp003,1,1,130,-5.4098865258472
30implicit,imp004,1,1,50,-1.73765677174616
30implicit,imp004,1,1,90,-3.72112839505447
30implicit,imp004,1,1,130,7.1962096366734
30implicit,imp005,1,1,50,-13.0125170875352
30implicit,imp005,1,1,90,-10.6181758439546
30implicit,imp005,1,1,130,-5.14803096109621
30implicit,imp006,1,1,50,-17.8197890160161
30implicit,imp006,1,1,90,-10.9901806775202
30implicit,imp006,1,1,130,-8.06246578038246
30implicit,imp007,1,1,50,-18.9526661939512
30implicit,imp007,1,1,90,-5.31903178657743
