participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
cur001,0,0,4,275,90,99.0333651324941,106.467990735291
cur001,0,0,4,276,130,115.695689778249,122.339858557253
cur001,0,0,4,277,50,38.1071389281846,29.7750248861744
cur001,0,0,4,278,90,77.3607726196234,81.6382515402132
cur001,0,0,4,279,130,112.451241705713,123.33041971498
cur001,0,1,1,73,130,141.53079848598,148.322615081485
cur001,0,1,1,74,50,43.5265744232944,29.9659722224018
cur001,0,1,1,75,90,102.032539293294,106.834572259659
cur001,0,1,1,76,90,69.088996221828,66.7161339265555
cur001,0,1,1,77,50,65.6310479981972,63.17492495292
cur001,0,1,1,78,130,137.816047007776,149.385701815254
cur001,0,1,1,79,50,41.5635606725005,27.4191701523692
cur001,0,1,1,80,130,133.884451470197,138.71735775838
cur001,0,1,1,81,90,68.6977704178376,69.6892046846102
cur001,0,1,1,82,90,110.736519830118,116.286758169476
cur001,0,1,1,83,130,104.837513479467,109.672139769233
cur001,0,1,1,84,50,72.3521896594637,66.7336427090741
cur001,0,1,1,85,130,141.728074145697,152.132350870133
cur001,0,1,1,86,50,38.6875887595183,32.540121559038
cur001,0,1,1,87,90,81.4930240740956,78.7633537144982
cur001,0,1,1,88,90,106.600821903415,119.086681184569
cur001,0,1,1,89,50,71.6270308247599,80.9312225781945
cur001,0,1,1,90,130,108.215834382938,113.172691967542
cur001,0,1,2,145,90,99.3143224755688,107.74648503406
cur001,0,1,2,146,130,148.437572161677,156.473397393928
cur001,0,1,2,147,50,43.0039441666287,30.0485801132195
cur001,0,1,2,148,90,112.00974758059,109.948460235181
cur001,0,1,2,149,130,116.151973081552,113.644775245539
cur001,0,1,2,150,50,67.1812839162129,71.4211231206384
cur001,0,1,2,151,90,106.96652784644,109.097198860591
cur001,0,1,2,152,50,46.6712406507829,38.4124917565588
cur001,0,1,2,153,130,135.558025315409,157.273994459171
cur001,0,1,2,154,50,72.6812545373195,76.8880293978197
cur001,0,1,2,155,130,111.195476439722,109.520833939362
cur001,0,1,2,156,90,72.9437174797872,75.672442481205
cur001,0,1,2,157,50,78.940390403639,67.5809629910885
cur001,0,1,2,158,130,136.302374077292,149.431094594782
cur001,0,1,2,159,90,75.957472814877,65.8677323954113
cur001,0,1,2,160,130,116.940307239861,122.482271725523
cur001,0,1,2,161,50,68.8168903708004,71.8969845376866
cur001,0,1,2,162,90,81.7921653828983,68.1766989582593
cur001,0,1,3,217,90,99.131030460317,117.850770136437
cur001,0,1,3,218,50,65.8937703615965,64.3188325761132
cur001,0,1,3,219,130,107.718331054649,117.384897481768
cur001,0,1,3,220,50,39.6434632530803,26.035670036701
cur001,0,1,3,221,90,112.367629123162,118.151572342718
cur001,0,1,3,222,130,139.46310150745,151.483976190421
cur001,0,1,3,223,90,80.2746642663598,76.4767624989842
cur001,0,1,3,224,130,127.015515915649,133.117577491625
cur001,0,1,3,225,50,40.8955336421584,27.5251358363688
cur001,0,1,3,226,90,82.2192891545118,65.0949184815688
cur001,0,1,3,227,50,73.6354281959907,63.2143449175371
cur001,0,1,3,228,130,109.228008764554,124.429627321502
cur001,0,1,3,229,90,71.9691949473881,78.4983502786946
cur001,0,1,3,230,50,75.7093053339704,79.5909400522958
cur001,0,1,3,231,130,128.245718255457,149.716094785328
cur001,0,1,3,232,90,61.9026034559859,69.8951179569657
cur001,0,1,3,233,130,123.14427992328,141.485190719458
cur001,0,1,3,234,50,45.6254128989537,39.3536099015951
cur001,0,1,4,289,50,40.1311668062122,28.7593184684329
cur001,0,1,4,290,90,70.7744189690153,69.9769116304225
cur001,0,1,4,291,130,105.719744248523,108.825385943714
cur001,0,1,4,292,50,42.980450302085,41.7566095675624
cur001,0,1,4,293,90,89.0006334788478,84.0121900384565
