participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
imp001,0,1,1,85,50,47.4956435184983,45.8616624625302
imp001,0,1,1,86,130,133.12871303266,134.686211462066
imp001,0,1,1,87,90,78.3670396655443,91.7569917145374
imp001,0,1,1,88,90,82.3321632891171,91.6346514308301
imp001,0,1,1,89,50,50.9967610744468,51.357304128415
imp001,0,1,1,90,130,119.085628190001,135.688888965843
imp001,0,1,2,145,130,121.367580818051,134.445291021969
imp001,0,1,2,146,90,84.2467865067596,92.1919741022995
imp001,0,1,2,147,50,47.2513425088204,47.2982675125512
imp001,0,1,2,148,130,127.886388256272,136.384404939553
imp001,0,1,2,149,90,75.4372092622866,95.5334552390236
imp001,0,1,2,150,50,54.2253911061492,46.2671490709287
imp001,0,1,2,151,130,125.756771444827,135.067004120705
imp001,0,1,2,153,90,85.8319980472971,95.4939936376749
imp001,0,1,2,154,90,84.8252106309415,94.3432774962931
imp001,0,1,2,155,130,120.44432684615,135.659399286719
imp001,0,1,2,156,50,45.5792411637741,57.5933677496852
imp001,0,1,2,157,50,59.1145458433551,53.8995261112005
imp001,0,1,2,158,90,88.4034895702934,95.5358392735639
imp001,0,1,2,159,130,120.894265338795,137.507461356727
imp001,0,1,2,160,50,60.2720277130755,55.3423941062916
imp001,0,1,2,161,130,114.739359162,140.179235736448
imp001,0,1,2,162,90,78.546505971771,91.8358876302161
imp001,0,1,3,217,130,123.282272378619,130.090307635935
imp001,0,1,3,218,50,52.9439764739723,48.25556775964
imp001,0,1,3,219,90,83.4242262116604,94.4836702403889
imp001,0,1,3,220,90,77.4662308048702,94.9617067948018
imp001,0,1,3,221,50,41.9915446139166,51.1256354801462
imp001,0,1,3,222,130,121.361995211868,133.616119439685
imp001,0,1,3,223,50,51.812208363907,54.8021316894602
imp001,0,1,3,224,90,90.1216135910676,95.6693364523777
imp001,0,1,3,225,130,128.627168153604,132.595620509422
imp001,0,1,3,226,90,78.6342384735628,100.529182888489
imp001,0,1,3,227,50,43.3602817957348,55.782857803552
imp001,0,1,3,228,130,114.079283403998,129.575086543012
imp001,0,1,3,229,50,51.1195661274257,53.4419319359525
imp001,0,1,3,230,130,116.198722852646,132.130356886308
imp001,0,1,3,231,90,73.8451644613613,97.9511061821628
imp001,0,1,3,232,90,80.5299387238556,92.1021985869923
imp001,0,1,3,233,50,38.3274609167739,50.1453221861666
imp001,0,1,3,234,130,130.989451090911,136.711660725661
imp001,0,1,4,289,50,50.4960075910372,48.9071539343474
imp001,0,1,4,290,90,91.0793790687349,100.247655468591
imp001,0,1,4,291,130,128.491343021891,134.626571456131
imp001,0,1,4,292,90,70.7829318264381,92.8510195510592
imp001,0,1,4,293,50,45.1692912646659,44.4718761109362
imp001,0,1,4,294,130,130.976933007469,133.743443312458
imp001,0,1,4,295,50,41.2314583550015,49.6979196130695
imp001,0,1,4,296,90,85.061572656441,98.4555435650037
imp001,0,1,4,297,130,135.874335960921,133.393087514988
imp001,0,1,4,298,50,47.3232966514546,44.6927918989947
imp001,0,1,4,299,90,93.2502215166637,98.7668688326298
